team_id,org_id,name,department,created_at,member_count
19266f47-16b,ddf1508a-742,Customer Success - Onboarding,Customer Success,2025-08-23 10:13:23,50
ea48aae5-02e,ddf1508a-742,Customer Success - Success,Customer Success,2025-06-04 10:13:23,80
447c3970-766,ddf1508a-742,Customer Success - Support Tier 1,Customer Success,2025-04-13 10:13:23,99
4f88a4bf-228,ddf1508a-742,Customer Success - Support Tier 2,Customer Success,2025-09-25 10:13:23,39
8a12194e-da8,ddf1508a-742,Design - Brand Design,Design,2025-05-23 10:13:23,80
30b05e5d-432,ddf1508a-742,Design - Product Design,Design,2025-05-20 10:13:23,95
9574e848-5c2,ddf1508a-742,Design - UX Research,Design,2025-04-14 10:13:23,43
8a2d6e6a-eed,ddf1508a-742,Engineering - Backend,Engineering,2025-05-20 10:13:23,69
9ea4e08c-62c,ddf1508a-742,Engineering - Data,Engineering,2025-08-22 10:13:23,66
9e9fece7-309,ddf1508a-742,Engineering - DevOps,Engineering,2025-06-05 10:13:23,61
a43e8fb1-de2,ddf1508a-742,Engineering - Frontend,Engineering,2025-04-19 10:13:23,57
28b93a7f-d85,ddf1508a-742,Engineering - Mobile,Engineering,2025-09-13 10:13:23,20
a8c6983a-5a6,ddf1508a-742,Engineering - Platform,Engineering,2025-09-21 10:13:23,73
a8ad4827-42d,ddf1508a-742,Engineering - QA,Engineering,2025-08-20 10:13:23,91
488ab045-b1f,ddf1508a-742,Engineering - Security,Engineering,2025-06-19 10:13:23,94
99c15e7e-b12,ddf1508a-742,Finance - Accounting,Finance,2025-04-21 10:13:23,86
7ca7db20-8b6,ddf1508a-742,Finance - FP&A,Finance,2025-06-02 10:13:23,26
9068b4b3-d93,ddf1508a-742,Finance - Procurement,Finance,2025-07-21 10:13:23,46
ff8d51d7-eaa,ddf1508a-742,HR - L&D,HR,2025-04-17 10:13:23,50
27ef1096-b7c,ddf1508a-742,HR - People Ops,HR,2025-04-18 10:13:23,78
3ccb5671-b77,ddf1508a-742,HR - Recruiting,HR,2025-08-13 10:13:23,39
fbc3bb64-d92,ddf1508a-742,Legal - Compliance,Legal,2025-09-10 10:13:23,23
7a561f79-62e,ddf1508a-742,Legal - Legal,Legal,2025-09-07 10:13:23,85
4bf6542f-8a1,ddf1508a-742,Marketing - Brand,Marketing,2025-03-16 10:13:23,46
9a138c3a-82b,ddf1508a-742,Marketing - Content,Marketing,2025-08-16 10:13:23,76
f5bf7d99-7d8,ddf1508a-742,Marketing - Demand Gen,Marketing,2025-04-16 10:13:23,52
f01d211d-225,ddf1508a-742,Marketing - Events,Marketing,2025-07-15 10:13:23,70
c14ea585-522,ddf1508a-742,Marketing - Product Marketing,Marketing,2025-07-16 10:13:23,54
0426cfba-f6b,ddf1508a-742,Operations - Data Ops,Operations,2025-05-08 10:13:23,21
c70c8716-7b5,ddf1508a-742,Operations - IT,Operations,2025-05-04 10:13:23,58
a23f8204-7cc,ddf1508a-742,Operations - Rev Ops,Operations,2025-07-05 10:13:23,34
2cd2869c-008,ddf1508a-742,Product - Analytics,Product,2025-09-22 10:13:23,49
46b21eaa-efa,ddf1508a-742,Product - Core Product,Product,2025-05-18 10:13:23,60
47315dd4-843,ddf1508a-742,Product - Growth,Product,2025-07-08 10:13:23,77
217da21a-2fe,ddf1508a-742,Product - Platform,Product,2025-03-21 10:13:23,91
bde22508-5f7,ddf1508a-742,Sales - Enterprise,Sales,2025-05-17 10:13:23,54
87014924-42c,ddf1508a-742,Sales - Partnerships,Sales,2025-05-12 10:13:23,62
9e13efb2-976,ddf1508a-742,Sales - SDR,Sales,2025-04-29 10:13:23,73
330edaf7-32b,ddf1508a-742,Sales - SMB,Sales,2025-08-18 10:13:23,72
e5c8351a-36b,ddf1508a-742,Sales - Solutions,Sales,2025-06-15 10:13:23,82
